Company,Website,Primary_Contact_Email,Location,LinkedIn,Active?,Notes,Contact_Count
"MDTX Logistics, LLC",Needs Research,mdtxlogistics@gmail.com,Cleveland,https://www.linkedin.com/in/dan-brennan,Needs Verification,Not yet verified - requires manual check,1
MJB Immigration,Needs Research,stacy@mjbimmigration.com,Cleveland,https://www.linkedin.com/in/chloe-wingard,Needs Verification,Not yet verified - requires manual check,3
MOD Network LLC,Needs Research,sbartlett@mod.network,Cleveland,https://www.linkedin.com/in/zac-boyer,Needs Verification,Not yet verified - requires manual check,1
Main Street Kent,Needs Research,info@mainstreetkent.org,Cleveland,https://www.linkedin.com/in/shane-scarbrough,Needs Verification,Not yet verified - requires manual check,3
Manic Pixie Dream Market,Needs Research,morgan@midnightrainbow.com,Cleveland,https://www.linkedin.com/in/christopher-strnad,Needs Verification,Not yet verified - requires manual check,1
Margie's Hope,Needs Research,President@margieshope.org,Cleveland,https://www.linkedin.com/in/coleen-biehl,Needs Verification,Not yet verified - requires manual check,6
"Maria’s Permanent Hair Removal, LLC",Needs Research,Mariashairremoval@yahoo.com,Cleveland,https://www.linkedin.com/in/sad-sparks,Needs Verification,Not yet verified - requires manual check,1
Marigold Catering,marigoldcatering.com,j.r@marigoldcatering.com,Cleveland,https://www.linkedin.com/in/stephanie-swain,Active,"Active catering, rebranded March 2025",5
Marissa Patsey LPCC,Needs Research,marissa@marissapatsey.com,Cleveland,https://www.linkedin.com/in/kristen-swinton,Needs Verification,Not yet verified - requires manual check,1
Marquez Development,Needs Research,laceibacleveland@yahoo.com,Cleveland,https://www.linkedin.com/in/mx-max,Needs Verification,Not yet verified - requires manual check,1
"Masuda Law, LLC",Needs Research,todd@masudalawllc.com,Cleveland,https://www.linkedin.com/in/kim-fetty,Needs Verification,Not yet verified - requires manual check,1
Matt Rolf Attorney LLC,Needs Research,m-rolf@mattrolfattorneyllc.com,Cleveland,https://www.linkedin.com/in/ms-christine,Needs Verification,Not yet verified - requires manual check,3
Mavuno of Ohio,Needs Research,jeane@mavunoofoh.com,Cleveland,https://www.linkedin.com/in/keli-schimelpfenig,Needs Verification,Not yet verified - requires manual check,4
Medical Mobile of Ohio,Needs Research,Dr.monica@medicalmobileohio.com,Cleveland,https://www.linkedin.com/in/william-crozier,Needs Verification,Not yet verified - requires manual check,1
Medical Mutual,Needs Research,maggie.cappello@medmutual.com,Cleveland,https://www.linkedin.com/in/bryce-smetana,Needs Verification,Not yet verified - requires manual check,13
Modern Real Estate Services LLC dba Modern Title,Needs Research,mike@moderntitleohio.com,Cleveland,https://www.linkedin.com/in/kathy-crowe,Needs Verification,Not yet verified - requires manual check,2
"Morgan Financial Associates, LLC",Needs Research,tmorgan@morganfinancialassoc.com,Cleveland,https://www.linkedin.com/in/steven-nikolakis,Needs Verification,Not yet verified - requires manual check,1
Mullen Insurance Solutions LLC,Needs Research,nate@mulleninsurancesolutions.com,Cleveland,https://www.linkedin.com/in/densil-porteous,Needs Verification,Not yet verified - requires manual check,1
My Noble Path,Needs Research,mercedes@mynoblepath.com,Cleveland,https://www.linkedin.com/in/joe-bass,Needs Verification,Not yet verified - requires manual check,2
NOAS,Needs Research,kevans@noas.com,Cleveland,https://www.linkedin.com/in/jerome-sheriff,Needs Verification,Not yet verified - requires manual check,4
"Nadas Law, LLC",Needs Research,tnadas@nadaslaw.com,Cleveland,https://www.linkedin.com/in/jason-david-evans,Needs Verification,Not yet verified - requires manual check,2
Navigate Counseling and Consultation Services,Needs Research,operations@navigatecounseling.org,Cleveland,https://www.linkedin.com/in/karen-carson,Needs Verification,Not yet verified - requires manual check,4
Near West Theatre,nearwesttheatre.org,info@nearwesttheatre.org,Cleveland,https://www.linkedin.com/in/traci-kalpac,Active,"Active theater, 2025 shows scheduled",11
Neighborhood Family Practice,Needs Research,jcastellano@nfpmedcenter.org,Cleveland,https://www.linkedin.com/in/dr-katherine,Needs Verification,Not yet verified - requires manual check,6
Nestle,Needs Research,greg.campbell@us.nestle.com,Cleveland,https://www.linkedin.com/in/heather-utsler-smith,Needs Verification,Not yet verified - requires manual check,11
Next Level Therapy,Needs Research,Lisa@nextleveltherapy.net,Cleveland,https://www.linkedin.com/in/noelle-celeste,Needs Verification,Not yet verified - requires manual check,2
Nightsweats & T-cells,Needs Research,deegm@aol.com,Cleveland,https://www.linkedin.com/in/adam-crawford,Needs Verification,Not yet verified - requires manual check,2
Ninja City Gordon Square LLC,Needs Research,dylan@ninjacity.com,Cleveland,https://www.linkedin.com/in/julie-kelly,Needs Verification,Not yet verified - requires manual check,2
"Nomz, LLC",Needs Research,info@nomzeatz.com,Cleveland,https://www.linkedin.com/in/mr-wren,Needs Verification,Not yet verified - requires manual check,1
North Coast Men's Chorus,Needs Research,info@ncmchorus.org,Cleveland,https://www.linkedin.com/in/ms-quinn,Needs Verification,Not yet verified - requires manual check,7
Northeast Ohio Coalition for the Homeless,Needs Research,neoch@neoch.org,Cleveland,https://www.linkedin.com/in/gordon-sims,Needs Verification,Not yet verified - requires manual check,4
Northeast Ohio Regional Sewer District,Needs Research,olmedaangelo@neorsd.org,Cleveland,https://www.linkedin.com/in/stephanie-heller,Needs Verification,Not yet verified - requires manual check,14
Northside Marketplace,Needs Research,akronnorthsidemarketplace@gmail.com,Cleveland,https://www.linkedin.com/in/tara-szilagyi,Needs Verification,Not yet verified - requires manual check,1
Northwest Bank,northwest.bank,Caren.Totleben@Northwest.com,Cleveland,https://www.linkedin.com/in/stephanie-underwood,Active,"10 branches in OH, Cleveland metro area, active",5
Nueva Luz Urban Resource Center,Needs Research,njrodas@nlurc.org,Cleveland,https://www.linkedin.com/in/wendy-bridges,Needs Verification,Not yet verified - requires manual check,4
O'Flanagan All-Purpose Services LLC,Needs Research,jim@oapsie.com,Cleveland,https://www.linkedin.com/in/matthew-davidson,Needs Verification,Not yet verified - requires manual check,1
"Oasis Counseling Solutions, LLC",Needs Research,admin@ocsohio.com,Cleveland,https://www.linkedin.com/in/sandy-deida,Needs Verification,Not yet verified - requires manual check,4
Old Brooklyn Community Development Corporation,Needs Research,accounts@oldbrooklyn.com,Cleveland,https://www.linkedin.com/in/mx-daniel,Needs Verification,Not yet verified - requires manual check,12
Old Stone Capital Partners LLC,Needs Research,swillkomm@oldstonecapital.com,Cleveland,https://www.linkedin.com/in/alex-schreck,Needs Verification,Not yet verified - requires manual check,1
Open Arms Adoptions,Needs Research,info@openarmsadopt.com,Cleveland,https://www.linkedin.com/in/audrey-silvestro,Needs Verification,Not yet verified - requires manual check,8
"Organizational Architecture, Inc.",Needs Research,markfiala@oahumanresources.com,Cleveland,https://www.linkedin.com/in/daija-averyheart,Needs Verification,Not yet verified - requires manual check,1
Oswald Companies,oswaldcompanies.com,oswaldpride@oswaldcompanies.com,Cleveland,https://www.linkedin.com/in/ramona-brazile,Active,"Large insurance firm, $373.8M revenue 2025",7
Out Fitness Collective,Needs Research,jj@jjfit.pro,Cleveland,https://www.linkedin.com/in/marcie-lambrix,Needs Verification,Not yet verified - requires manual check,1
PFLAG Akron,Needs Research,pflagakron@gmail.com,Akron,https://www.linkedin.com/in/jennifer-mccall,Needs Verification,Not yet verified - requires manual check,2
PFLAG Cleveland,Needs Research,grohwargo@me.com,Cleveland,https://www.linkedin.com/in/barbara-schultz,Needs Verification,Not yet verified - requires manual check,4
PRN Solutions,Needs Research,mleppla@prn4hme.com,Cleveland,https://www.linkedin.com/in/barb-balit,Needs Verification,Not yet verified - requires manual check,1
Paige Mireles Photography,Needs Research,ohioloversweddingshow@gmail.com,Cleveland,https://www.linkedin.com/in/kiara-watkins,Needs Verification,Not yet verified - requires manual check,2
Pango Apparel,Needs Research,kandigirl2@outlook.com,Cleveland,https://www.linkedin.com/in/dara-adkison,Needs Verification,Not yet verified - requires manual check,1
Perkoski Photography,Needs Research,bob@perkoski.com,Cleveland,https://www.linkedin.com/in/diane-brenna,Needs Verification,Not yet verified - requires manual check,1
Pet-tique,Needs Research,pettique@pettique.com,Cleveland,https://www.linkedin.com/in/james-knapp,Needs Verification,Not yet verified - requires manual check,1
Playhouse Square,Needs Research,andy.selesnik@playhousesquare.org,Cleveland,https://www.linkedin.com/in/hot-deals,Needs Verification,Not yet verified - requires manual check,11
PortoSpire,Needs Research,andrew.wallace@portospire.com,Cleveland,https://www.linkedin.com/in/emily-pikturna,Needs Verification,Not yet verified - requires manual check,1
Prestige Cleaning and Windows,Needs Research,chris@prestigecleaningandwindows.com,Cleveland,https://www.linkedin.com/in/allison-woods,Needs Verification,Not yet verified - requires manual check,2
Propped Productions,Needs Research,rob@proppedproductions.com,Cleveland,https://www.linkedin.com/in/regina-bassett,Needs Verification,Not yet verified - requires manual check,3
RECESS GAMES,Needs Research,maria@recess.net,Cleveland,https://www.linkedin.com/in/alan-hazzard,Needs Verification,Not yet verified - requires manual check,2
Rainbow of Hope Counseling LLC,Needs Research,mmwesley@rainbowofhopecounseling.org,Cleveland,https://www.linkedin.com/in/lori-gabel,Needs Verification,Not yet verified - requires manual check,1
"Reddy or Knot Design, LLC",Needs Research,mairead@reddyorknot.com,Cleveland,https://www.linkedin.com/in/zielee-herbold,Needs Verification,Not yet verified - requires manual check,1
Redefined LLC,Needs Research,drjsanders@iamredefined.org,Cleveland,https://www.linkedin.com/in/jon-iannaco,Needs Verification,Not yet verified - requires manual check,1
Rockwell Automation,Needs Research,mkoball@ra.rockwell.com,Cleveland,https://www.linkedin.com/in/sue-seager,Needs Verification,Not yet verified - requires manual check,6
Safe Pass Driving School,Needs Research,safepass@safepasscle.com,Cleveland,https://www.linkedin.com/in/christine-bertlemann,Needs Verification,Not yet verified - requires manual check,3
"Sage & Maven, LLC",Needs Research,phyllis@sageandmaven.com,Cleveland,https://www.linkedin.com/in/aurora-keag,Needs Verification,Not yet verified - requires manual check,1
Sappho and Her Beans,Needs Research,Samantha.basille@gmail.com,Cleveland,https://www.linkedin.com/in/tom-kelley,Needs Verification,Not yet verified - requires manual check,1
Saucisson,Needs Research,iloveswine@gmail.com,Cleveland,https://www.linkedin.com/in/tracy-kipfstuhl,Needs Verification,Not yet verified - requires manual check,1
Scarlato's Pizzeria,Needs Research,willandtony@gmail.com,Cleveland,https://www.linkedin.com/in/jessica-miller,Needs Verification,Not yet verified - requires manual check,1
Seeds of Literacy,Needs Research,communications@seedsofliteracy.org,Cleveland,https://www.linkedin.com/in/amanda-naylor,Needs Verification,Not yet verified - requires manual check,4
Shamus Dickinson - Howard Hanna Real Estate Services,Needs Research,shamusdickinson@howardhanna.com,Cleveland,https://www.linkedin.com/in/valerie-mayen,Needs Verification,Not yet verified - requires manual check,1
Shearer's Foods LLC,Needs Research,kimdavenport@shearers.com,Cleveland,https://www.linkedin.com/in/kelsey-meyer,Needs Verification,Not yet verified - requires manual check,1
Shiny Penny Studios,Needs Research,whitney@shinypennystudios.com,Cleveland,https://www.linkedin.com/in/craig-dorn,Needs Verification,Not yet verified - requires manual check,3
Sisters of Economic Action,Needs Research,info@sistersofecon.org,Cleveland,https://www.linkedin.com/in/bonnie-huston,Needs Verification,Not yet verified - requires manual check,2
Sits 'n Wiggles Dog Training 'n Behavior Consulting,Needs Research,valarie@sitsnwigglescle.com,Cleveland,https://www.linkedin.com/in/heather-pollack,Needs Verification,Not yet verified - requires manual check,2
Skidmark Garage CLE,Needs Research,skidmarketingteam@gmail.com,Cleveland,https://www.linkedin.com/in/daniel-mcguire,Needs Verification,Not yet verified - requires manual check,3
SkinnyBoy Media,Needs Research,contact@skinnyboymedia.com,Cleveland,https://www.linkedin.com/in/corey-james,Needs Verification,Not yet verified - requires manual check,1
Skylight Financial Group,skylightfinancialgroup.com,Kbryan@financialguide.com,Cleveland,https://www.linkedin.com/in/mary-paxton,Active,"Active financial planning, 200+ professionals",4
Smart-LE,Needs Research,mzaller1@gmail.com,Cleveland,https://www.linkedin.com/in/carly-specht,Needs Verification,Not yet verified - requires manual check,2
Sophie La Gourmande,Needs Research,bob@sophielagourmande.com,Cleveland,https://www.linkedin.com/in/maverick-williams,Needs Verification,Not yet verified - requires manual check,1
blue csr strategies,Needs Research,andrew@bluecsr.com,Cleveland,https://www.linkedin.com/in/kevin-clayton,Needs Verification,Not yet verified - requires manual check,1
evrecruit.io,Needs Research,lisa.kagy@evrecruit.io,Cleveland,https://www.linkedin.com/in/anna-pitts,Needs Verification,Not yet verified - requires manual check,1
media schmedia LLC,Needs Research,halle@media-schmedia.com,Cleveland,https://www.linkedin.com/in/liz-briody,Needs Verification,Not yet verified - requires manual check,1
